PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P02996,Anna Nagar,1916,17-06-2011,15,2,1,5,Normal Sale,Yes,19-06-2003,Commercial,AllPub,Gravel,RM,4.3,2.9,2.5,3.23,936314,444749,23407860
P02347,KK Nagar,2079,20-10-2011,112,3,2,5,AdjLand,No,26-10-1984,Commercial,NoSewr ,Gravel,RM,3.8,2.2,3.9,3.36,563006,228721,17593940
P03126,Karapakkam,1377,22-05-2011,112,2,2,4,Normal Sale,No,31-05-1974,House,ELO,Paved,I,4,4.7,2.3,3.53,256211,115905,6100250
P04777,KK Nagar,2363,2/7/2010,169,4,2,6,Family,No,7/7/1991,Commercial,NoSewr ,Gravel,RL,3.5,4.9,4.6,4.36,756744,184572,18457180
P01693,Karapakkam,1568,25-02-2012,142,2,2,4,Family,Yes,8/3/1966,House,ELO,Gravel,I,3.7,2.7,2.6,2.96,382911,62516,7814500
P08619,Adyar,1210,20-10-2007,95,2,2,4,AdjLand,Yes,22-10-1997,Others,NoSewr ,Paved,RH,2.9,4.8,3.9,3.78,426624,67362,11226950
P05109,Karapakkam,1179,29-04-2010,153,1,1,3,AdjLand,No,2/5/1997,House,AllPub,No Access,I,2.6,4.2,2.1,2.88,281964,99862,5874250
P08536,Adyar,822,16-11-2007,30,1,1,3,AbNormal,Yes,25-11-1968,House,NoSewr ,Gravel,RM,2.9,4.9,3.3,3.5,368162,48442,9688485
P00466,Chrompet,1235,25-03-2014,177,2,1,4,AdjLand,No,1/4/1986,House,ELO,No Access,RH,4.1,4.1,4.4,4.19,263974,127987,7999200
P07000,T Nagar,1735,28-03-2009,116,1,1,4,AdjLand,Yes,5/4/1979,Commercial,NoSewr ,Gravel,RM,2.9,3.8,4.6,3.89,783738,283017,21770500
P02881,Chrompet,745,6/7/2011,182,1,1,2,AbNormal,Yes,11/7/1989,House,AllPub,Paved,RH,4.5,4.9,3.4,4.33,205700,38093,7618500
P00009,Chrompet,794,13-02-2015,160,1,1,2,Family,No,22-02-1977,House,AllPub,Gravel,RH,2,3.3,2.5,2.67,216394,47336,6762300
P01339,T Nagar,1979,27-07-2012,61,2,1,5,AbNormal,Yes,29-07-2004,Commercial,NoSeWa,Paved,RL,3.2,4.9,4.1,4.03,681782,227261,22726060
P00668,T Nagar,1641,29-10-2013,163,1,1,4,Normal Sale,Yes,9/11/1968,Others,NoSewr ,Paved,RL,2.3,4.4,2.7,3.005,410920,79533,13255480
P09808,Velachery,1718,30-05-2005,57,2,1,4,Family,No,1/6/1999,Commercial,AllPub,No Access,A,2.2,3,2.9,2.77,357415,250190,11913820
P07767,Chrompet,706,9/8/2008,53,1,1,2,AbNormal,Yes,19-08-1970,Others,NoSeWa,Paved,RH,2.1,2.7,2.9,2.58,207922,114716,7169720
P05562,Adyar,728,3/2/2010,52,1,1,2,Normal Sale,No,8/2/1990,Commercial,AllPub,Paved,I,2.2,2.7,2.2,2.3,345583,27283,9094300
P05894,Velachery,1948,3/12/2009,19,3,2,5,AbNormal,No,10/12/1983,House,NoSewr ,Gravel,C,3.9,3.1,4.1,3.6,359541,62920,8988520
P01265,T Nagar,1863,17-09-2012,188,2,1,5,Family,No,25-09-1980,Others,NoSeWa,Gravel,RL,4.3,4.9,2.5,3.64,459107,250422,13912330
P08528,Anna Nagar,1849,20-11-2007,144,2,1,5,Normal Sale,Yes,23-11-1993,Commercial,AllPub,Paved,RH,4,4.6,4.5,4.35,823071,379879,21104380
P02811,Velachery,1528,21-07-2011,143,2,1,4,AdjLand,No,24-07-1997,Others,AllPub,No Access,C,3.4,3.6,4.7,3.88,275894,63061,7882680
P02676,Anna Nagar,1979,20-08-2011,171,2,1,5,Partial,Yes,24-08-1995,Others,AllPub,Paved,RH,3.1,3.2,4.2,3.565,425054,190542,14657040
P03951,KK Nagar,1639,6/12/2010,154,2,1,4,AdjLand,Yes,11/12/1989,Others,NoSeWa,Paved,RL,3.8,4.5,4.4,4.25,454977,99873,11097000
P04246,Karapakkam,796,7/10/2010,20,1,1,2,Partial,Yes,16-10-1972,Others,ELO,Gravel,A,2.1,4,3,3.03,177156,110124,4788000
P00916,Chrompet,794,3/5/2013,190,1,1,2,AdjLand,Yes,9/5/1988,House,AllPub,No Access,RM,3.6,2.4,2,2.64,222252,42741,8548150
P02769,Adyar,748,2/8/2011,116,1,1,2,Partial,Yes,3/8/2006,Others,AllPub,Paved,C,2.7,3,4.7,3.76,229599,78925,7174975
P07939,Chrompet,1278,17-06-2008,34,2,1,4,AbNormal,No,21-06-1995,Others,NoSeWa,Gravel,RL,2.5,4.3,4.8,3.91,285487,137457,10573610
P02573,Adyar,838,9/9/2011,35,1,1,3,Normal Sale,Yes,11/9/2002,Others,NoSeWa,No Access,RH,3.5,3.6,4.3,3.92,325495,100152,8346035
P03594,KK Nagar,2459,20-02-2011,186,4,2,6,AbNormal,Yes,27-02-1983,House,NoSeWa,Paved,RH,2.4,3.1,3.7,3.13,363220,222618,11716760
P04407,Karapakkam,1358,7/9/2010,2,2,2,4,Normal Sale,Yes,17-09-1970,House,NoSewr ,Gravel,C,4.4,3.7,2.8,3.55,342240,171120,7130000
P05874,Karapakkam,731,6/12/2009,60,1,1,2,Partial,No,16-12-1969,Others,ELO,Paved,RM,3.4,4.4,4.3,4.06,195764,146823,6117625
P08877,Adyar,973,12/7/2007,15,1,1,3,Family,Yes,20-07-1972,Commercial,NoSewr ,Gravel,A,3.9,4.2,2.8,3.41,329374,164687,10979125
P02033,Anna Nagar,1757,22-12-2011,113,1,1,4,Family,No,25-12-1998,Others,NoSeWa,Paved,RM,2.1,3.9,3,2.91,368163,190899,13635670
P00897,Anna Nagar,1995,15-05-2013,121,2,1,5,Family,Yes,21-05-1991,Others,NoSeWa,No Access,RH,5,2.9,2.2,3.355,543010,167080,13923340
P05069,Chrompet,870,5/5/2010,83,1,1,3,AdjLand,No,10/5/1989,House,ELO,No Access,RL,4.8,3.9,3.3,3.99,202579,36175,7234950
P01189,Chrompet,1035,6/11/2012,90,1,,3,Partial,No,14-11-1981,Others,NoSeWa,No Access,RM,2.3,3.5,3.2,3.05,223403,24823,8274200
P04701,KK Nagar,2205,16-07-2010,74,3,2,5,AbNormal,No,22-07-1987,Commercial,AllPub,Paved,RH,2.8,3.8,4.6,3.82,494204,230628,16473460
P05609,Chrompet,709,26-01-2010,112,1,1,2,AdjLand,No,30-01-1994,Commercial,AllPub,Gravel,RM,4.4,2,3.3,3.11,280765,78614,11230600
P06375,Karapakkam,1206,3/9/2009,57,1,1,3,Normal Sale,No,8/9/1989,Others,ELO,No Access,I,3.4,2.4,4.9,3.7,241595,97788,5752250
P01417,Adyar,685,20-05-2012,39,1,1,2,Normal Sale,Yes,23-05-2003,Others,AllPub,Gravel,A,4.1,2.5,3,3.23,237331,13961,6980335
P01293,Anna Nagar,1690,25-08-2012,98,1,1,4,AdjLand,No,30-08-1992,Commercial,NoSewr ,No Access,RM,2.4,2.9,3.5,2.965,520035,288908,19260550
P08399,Adyar,786,14-01-2008,156,1,1,2,Family,No,16-01-1997,House,NoSewr ,Paved,RH,3.7,2,4.1,3.56,246570,14090,7044865
P05770,Chrompet,1136,25-12-2009,139,1,1,3,Family,No,30-12-1991,House,NoSewr ,Paved,RL,3.6,4.5,3.7,3.99,285645,129839,8655900
P04586,Chrompet,1268,5/8/2010,166,2,1,4,Family,No,9/8/1992,Commercial,NoSewr ,No Access,RM,4.9,2.1,2,2.91,433470,139829,13982900
P02530,Karapakkam,1012,16-09-2011,139,1,1,3,AbNormal,Yes,24-09-1976,Others,ELO,Gravel,I,4.2,3,2.5,3.16,216589,160695,6986750
P06705,Chrompet,1198,19-06-2009,41,1,1,3,AbNormal,Yes,20-06-2005,Commercial,ELO,No Access,RL,3.6,2.3,2.8,2.84,402862,180593,13891800
P04520,Karapakkam,1152,14-08-2010,78,1,1,3,Normal Sale,Yes,24-08-1968,House,ELO,No Access,RH,2.3,4.2,3.8,3.47,291663,152172,6340500
P03115,Chrompet,1034,24-05-2011,58,1,1,3,AbNormal,No,30-05-1987,Commercial,NoSeWa,No Access,RM,2.4,4.1,4.9,3.83,397762,48214,12053400
P06486,T Nagar,1869,9/8/2009,143,2,1,5,AbNormal,Yes,19-08-1970,Commercial,NoSewr ,No Access,RM,3.6,2.5,3.6,3.325,851325,191548,21283130
P01491,Chrompet,773,2/4/2012,184,1,1,2,AbNormal,Yes,4/4/2006,House,NoSeWa,Paved,RM,3,2.2,2.3,2.47,264747,61774,8824900
P07815,KK Nagar,2273,24-07-2008,121,4,2,6,AbNormal,No,26-07-2002,House,AllPub,Gravel,RL,4,3.1,2.3,3.05,442169,262911,11950520
P06307,Chrompet,956,16-09-2009,163,1,1,3,AdjLand,No,23-09-1980,Others,AllPub,Gravel,RM,2.2,3.3,4.1,3.21,326458,158283,9892670
P08527,Adyar,939,20-11-2007,88,1,1,3,AdjLand,No,29-11-1970,Others,ELO,Gravel,I,2.2,4.6,4.8,3.98,275959,16233,8116455
P02972,KK Nagar,1938,21-06-2011,116,3,2,5,Family,No,28-06-1981,House,NoSeWa,Paved,RM,4,2,2.5,2.8,447084,162576,10161000
P00195,Anna Nagar,1764,5/10/2014,143,1,1,4,Normal Sale,Yes,11/10/1988,Commercial,NoSeWa,Paved,RL,2.5,4.5,3.5,3.4,650532,223620,20329120
P01467,T Nagar,1920,19-04-2012,166,2,1,5,AbNormal,No,24-04-1993,Others,ELO,Gravel,RL,2,4.4,2.8,2.96,550566,159374,14488580
P01662,Karapakkam,525,29-02-2012,195,1,1,2,Family,No,11/3/1971,House,NoSewr ,Paved,RL,4.6,2.6,3.3,3.48,164348,114546,4980250
P09221,Adyar,653,20-02-2007,119,1,1,2,Family,Yes,23-02-1993,House,NoSewr ,Gravel,A,3.4,3.6,3,3.24,224183,48472,6059010
P03314,Anna Nagar,1700,15-04-2011,120,1,1,4,AdjLand,Yes,25-04-1968,Commercial,NoSeWa,Paved,RH,2.3,2.8,3.4,2.865,669375,133875,19125010
P09696,Velachery,1505,8/2/2006,22,2,1,4,Family,Yes,19-02-1962,Commercial,NoSewr ,Gravel,A,4.1,4.3,3.7,4.07,435225,157165,12089580
P02916,Karapakkam,1589,29-06-2011,158,2,2,4,Family,Yes,5/7/1987,Others,NoSeWa,No Access,C,3.7,4.7,3.5,3.92,239922,174489,7270375
P04201,Velachery,1829,18-10-2010,118,3,2,5,Family,No,26-10-1976,Commercial,AllPub,No Access,C,4,2.9,2.8,3.15,498211,140521,12774630
P09500,Chrompet,963,7/11/2006,64,1,1,3,Partial,Yes,8/11/2002,Commercial,ELO,Paved,RL,3,4.4,2.7,3.47,338332,100246,12530800
P05365,KK Nagar,1724,10/3/2010,64,2,1,4,AdjLand,Yes,17-03-1980,House,NoSeWa,Paved,RH,4,2.7,3.2,3.29,361668,205271,9774800
P02772,Adyar,731,31-07-2011,191,1,1,2,AdjLand,Yes,5/8/1988,House,NoSeWa,No Access,RL,3.5,2.2,4.4,3.69,263853,103942,7995545
P08775,Anna Nagar,1911,24-08-2007,9,2,1,5,Family,No,1/9/1973,House,NoSeWa,No Access,RH,2.8,3.9,4.3,3.675,444845,155696,11121130
P00184,Chrompet,1239,13-10-2014,143,2,1,4,AdjLand,Yes,20-10-1984,Others,NoSewr ,No Access,RL,2,3.2,3,2.78,341059,93016,10335130
P02380,Karapakkam,508,15-10-2011,108,1,1,2,Family,Yes,25-10-1969,House,NoSeWa,Gravel,A,2.7,5,2.8,3.43,122280,86779,3944500
P05800,Chrompet,893,20-12-2009,174,1,1,3,Partial,No,27-12-1981,House,NoSewr ,Paved,RM,2.8,4.8,4.8,4.2,208842,96389,8032400
P09728,Velachery,1973,3/11/2005,171,3,2,5,Normal Sale,No,5/11/1997,Commercial,NoSeWa,No Access,RM,2,5,4.6,4.13,575556,246667,16444460
P02374,Chrompet,1050,16-10-2011,157,1,1,3,AbNormal,No,20-10-1993,House,NoSewr ,No Access,RL,2.8,2.9,4,3.2,208832,30938,7734500
P03641,Velachery,1779,9/2/2011,48,2,1,4,Partial,No,20-02-1965,Commercial,NoSeWa,Gravel,I,3.9,2.7,4.7,3.6,486573,162191,13515920
P08487,Adyar,1078,13-12-2007,106,1,1,3,Family,No,15-12-1997,Commercial,NoSewr ,Gravel,I,2.2,3.4,4,3.34,450308,62543,12508550
P03823,KK Nagar,2470,6/1/2011,197,4,2,6,Normal Sale,Yes,10/1/1993,Commercial,AllPub,Paved,RL,3.7,3.7,2.9,3.38,612354,316054,19753360
P08199,Adyar,1170,25-03-2008,73,1,1,3,AdjLand,Yes,31-03-1986,Commercial,NoSeWa,Paved,I,2.5,3.9,4,3.53,459585,69634,13926830
P06892,Adyar,706,27-04-2009,61,1,1,2,Normal Sale,No,30-04-1999,Others,AllPub,No Access,A,2.7,3.2,2.1,2.5,193150,19315,4828750
P03373,Anna Nagar,1897,7/4/2011,112,2,1,5,AbNormal,Yes,17-04-1968,House,NoSeWa,No Access,RH,4.5,3.8,3.9,4.085,423031,84606,12086610
P05707,KK Nagar,1858,8/1/2010,73,3,2,5,Partial,Yes,15-01-1981,House,NoSeWa,Gravel,RM,4.9,3.9,4.2,4.32,377651,171660,11443980
P07434,Adyar,1134,9/11/2008,133,1,1,3,Partial,Yes,13-11-1993,House,NoSeWa,Paved,RL,2.6,2.2,2.5,2.47,338990,106540,9685425
P02807,Karapakkam,1057,22-07-2011,49,1,1,3,Partial,No,27-07-1990,Others,NoSeWa,No Access,A,3.8,3.7,4.7,4.13,154776,71435,3968625
P07455,T Nagar,1630,4/11/2008,186,1,1,4,Family,Yes,12/11/1976,House,NoSeWa,Gravel,RH,4.2,4.2,4.9,4.515,375760,169698,12121290
P08012,KK Nagar,2202,22-05-2008,91,3,2,5,AbNormal,No,28-05-1984,Commercial,NoSeWa,Paved,RH,3.3,4.6,2.5,3.37,743023,339206,16152680
P06649,Chrompet,1209,5/7/2009,25,2,1,4,AbNormal,Yes,15-07-1971,Others,ELO,No Access,RH,2.4,4.7,5,4.1,226521,99669,9060830
P07297,Chrompet,1068,27-12-2008,194,1,1,3,Partial,No,28-12-2004,Commercial,ELO,Gravel,RM,3.9,2.4,3.9,3.3,389377,53707,13426800
P03052,Karapakkam,1366,5/6/2011,168,2,2,4,Family,Yes,7/6/2000,House,NoSewr ,No Access,RH,2.7,3.7,4.7,3.8,245192,61298,7662250
P08716,T Nagar,1727,12/9/2007,30,1,1,4,Partial,Yes,18-09-1981,Commercial,NoSewr ,Gravel,RH,3.6,2.7,3.3,3.24,669722,315164,19697720
P01786,Anna Nagar,1673,9/2/2012,102,1,1,4,Family,No,20-02-1968,House,NoSeWa,Paved,RM,2.5,4.6,2.6,3.065,417767,174069,11604630
P07093,T Nagar,1954,28-02-2009,154,2,1,5,AdjLand,Yes,6/3/1985,House,NoSeWa,Paved,RM,3.5,2.5,2.5,2.8,446558,253050,14885280
P07729,Adyar,1022,18-08-2008,195,1,1,3,Normal Sale,Yes,23-08-1991,Commercial,NoSeWa,Paved,A,3.6,2.2,4.9,3.97,440492,101652,11294655
P02894,Anna Nagar,1915,4/7/2011,75,2,1,5,Family,Yes,10/7/1984,House,ELO,No Access,RM,4,3.7,5,4.325,500658,135313,13531290
P00827,Chrompet,803,29-06-2013,41,1,1,3,AbNormal,No,1/7/2005,Others,NoSewr ,No Access,RH,2,3.9,3.5,3.21,184197,27288,6822110
P06870,Adyar,1241,2/5/2009,98,2,2,4,AdjLand,No,4/5/2002,House,ELO,No Access,RM,2.6,2.4,4.4,3.46,342394,100704,10070405
P00700,Chrompet,993,8/10/2013,89,1,1,3,AdjLand,Yes,12/10/1996,House,NoSewr ,Paved,RM,4.4,4.9,3.1,4.21,264923,122272,10189350
P05077,Adyar,779,4/5/2010,176,1,1,2,Partial,No,11/5/1981,Commercial,ELO,Paved,I,3.8,4.9,3.2,3.72,318691,79673,8852535
P05202,Velachery,1972,11/4/2010,162,3,2,5,Normal Sale,Yes,17-04-1984,House,NoSewr ,No Access,RL,4.2,2.3,3.4,3.11,318332,106111,10611070
P07790,KK Nagar,2366,2/8/2008,81,4,2,6,AbNormal,Yes,10/8/1979,House,NoSewr ,Paved,RM,2,4.3,3,3.09,472245,319085,12763380
P04430,Adyar,1104,2/9/2010,21,1,1,3,Family,No,3/9/2005,House,NoSewr ,Gravel,RH,3.5,4.9,3.8,3.93,345035,136198,9079875
P09816,Velachery,1509,16-05-2005,60,2,1,4,AdjLand,Yes,21-05-1985,Others,AllPub,Paved,C,2.5,4.4,3.2,3.57,288877,83867,9318600
P06745,KK Nagar,2001,7/6/2009,181,3,2,5,Family,Yes,8/6/2004,Commercial,NoSeWa,Paved,RL,2.5,3.1,3.6,3.12,825243,303151,16841700
P08388,Velachery,1735,18-01-2008,159,2,1,4,Family,Yes,28-01-1967,House,AllPub,Paved,RH,2.4,4.8,2.2,3.42,374128,163081,9593020
P06922,Chrompet,730,17-04-2009,142,1,1,2,AdjLand,Yes,27-04-1969,Commercial,NoSewr ,Gravel,RH,3.5,4.7,4,4.13,310480,107062,10706200
P07085,Chrompet,1148,2/3/2009,116,1,1,3,Normal Sale,No,8/3/1986,House,NoSewr ,Paved,RL,4.7,3.4,2.9,3.64,278069,43448,8689650
P00838,T Nagar,1781,22-06-2013,50,1,1,4,AdjLand,No,2/7/1973,Others,NoSewr ,Paved,RL,4.9,4.9,4.6,4.765,420986,81481,13580180
P09429,Chrompet,951,11/12/2006,1,1,1,3,AbNormal,No,14-12-1993,Commercial,NoSeWa,No Access,RH,3.5,2.6,2.8,2.93,267887,123640,10303350
P03644,Chrompet,1189,9/2/2011,156,1,1,3,AbNormal,No,11/2/2004,Commercial,NoSewr ,Gravel,RM,2.4,2,3.9,2.69,439370,131811,14645650
P04797,Velachery,1899,29-06-2010,34,3,2,5,AbNormal,Yes,11/7/1962,Others,NoSeWa,Gravel,RM,3.3,3.1,4.3,3.51,473123,161858,12450610
P01191,Chrompet,1212,6/11/2012,65,2,1,4,Partial,Yes,15-11-1979,Others,AllPub,Gravel,RL,5,4.5,4.6,4.68,274880,54976,10995190
P00171,Chrompet,1136,25-10-2014,148,1,1,3,Family,No,30-10-1995,Others,NoSewr ,No Access,RL,2.2,2.8,3.8,2.92,283080,120094,8578170
P08960,Adyar,1059,3/6/2007,10,1,1,3,Partial,No,11/6/1975,House,NoSewr ,Gravel,A,2.3,2.6,2.5,2.46,229854,80760,6212280
P03441,KK Nagar,2172,26-03-2011,134,3,2,5,Family,Yes,30-03-1994,Others,NoSeWa,Paved,RM,3.7,3.1,3.2,3.32,455951,104217,13027180
P07707,KK Nagar,2451,28-08-2008,74,4,2,6,AbNormal,Yes,31-08-1998,Commercial,AllPub,Paved,RL,3.4,3.3,4.4,3.77,614042,237694,19807800
P09968,Velachery,1834,19-06-2004,142,3,2,5,Partial,No,27-06-1974,Commercial,NoSeWa,No Access,RH,4,4.3,4.1,4.17,508630,219948,13746750
P06935,Velachery,1609,14-04-2009,12,2,1,4,Partial,No,19-04-1991,House,ELO,Paved,RL,3.8,3.3,2.8,3.28,288935,183868,8755610
P01240,Anna Nagar,1845,4/10/2012,130,2,1,5,AbNormal,No,15-10-1970,Commercial,NoSewr ,Gravel,RM,2.7,2.3,2.6,2.56,691035,167524,20940440
P04211,KK Nagar,2084,16-10-2010,24,3,2,5,Partial,Yes,23-10-1983,Commercial,AllPub,Gravel,RM,2.9,5,2.6,3.41,760155,144792,18098940
P05283,Adyar,936,25-03-2010,110,1,1,3,Partial,Yes,28-03-1998,Others,AllPub,Gravel,C,4.5,4.9,2.1,3.38,305560,118829,8487780
P02229,KK Nagar,2403,11/11/2011,196,4,2,6,Family,No,13-11-2003,Commercial,AllPub,Paved,RL,5,3.2,4.1,4.1,683907,166356,18483960
P08676,Anna Nagar,1533,25-09-2007,70,1,1,4,AdjLand,Yes,2/10/1978,Others,NoSewr ,Gravel,RM,4.2,4.7,4.5,4.445,422267,87366,14560920
P00357,Chrompet,856,9/6/2014,83,1,1,3,AdjLand,Yes,15-06-1989,Others,NoSeWa,Paved,RH,3.3,3.5,2,2.99,264761,85407,8540670
P00949,Chrompet,841,13-04-2013,190,1,1,3,Family,No,16-04-2002,Commercial,AllPub,No Access,RM,2.1,3.6,4.6,3.45,339061,76562,10937450
P01260,Chrompet,1083,21-09-2012,138,1,1,3,Family,No,25-09-1999,Others,AllPub,No Access,RL,4.6,3,3.4,3.6,250620,103705,8642060
P02903,Velachery,1721,2/7/2011,31,2,1,4,Normal Sale,No,8/7/1986,House,NoSeWa,No Access,RL,3.7,5,4.3,4.47,290355,158376,8798650
P09297,Chrompet,1276,27-01-2007,98,2,1,4,AbNormal,Yes,4/2/1973,Others,NoSewr ,No Access,RH,4.2,4.1,4.4,4.22,250006,28847,9615620
P00845,Chrompet,974,19-06-2013,37,1,1,3,Partial,No,21-06-2006,Commercial,NoSewr ,Paved,RL,4.4,4.2,4.1,4.23,342567,200815,11812650
P08103,Adyar,827,25-04-2008,52,1,1,3,AbNormal,No,28-04-1999,Others,ELO,Gravel,A,2.1,2.5,3.2,2.73,228547,6349,6348535
P01250,Chrompet,1159,27-09-2012,106,1,1,3,Normal Sale,Yes,6/10/1979,Others,AllPub,No Access,RH,2.9,3.9,2,3.03,298702,72413,9051580
P02113,Chrompet,742,9/12/2011,108,1,1,2,AbNormal,No,10/12/2005,House,NoSewr ,No Access,RL,3,3.2,4.8,3.62,168128,94151,6725100
P05112,Karapakkam,849,28-04-2010,198,1,1,2,Family,Yes,9/5/1967,Commercial,NoSewr ,Paved,RM,4.8,2.1,3.3,3.39,416559,179878,9467250
P04855,Chrompet,960,18-06-2010,116,1,1,3,AbNormal,No,21-06-1999,Others,ELO,Paved,RH,4.5,3.2,5,4.13,254990,95621,7968450
